2.000000 	 1.000000 	 0.761905 
2.000000 	 2.000000 	 0.761905 
2.000000 	 3.000000 	 0.761905 
3.000000 	 1.000000 	 0.655172 
3.000000 	 2.000000 	 0.442971 
3.000000 	 3.000000 	 0.336870 
4.000000 	 1.000000 	 0.346569 
4.000000 	 2.000000 	 0.090978 
4.000000 	 3.000000 	 -0.164613 
5.000000 	 1.000000 	 0.082569 
5.000000 	 2.000000 	 -0.272113 
5.000000 	 3.000000 	 -0.691761 
6.000000 	 1.000000 	 -0.262671 
6.000000 	 2.000000 	 -0.638498 
6.000000 	 3.000000 	 -1.226526 
7.000000 	 1.000000 	 -0.596621 
7.000000 	 2.000000 	 -1.005789 
7.000000 	 3.000000 	 -1.763387 
