2.000000 	 1.000000 	 0.827586 
2.000000 	 2.000000 	 0.827586 
2.000000 	 3.000000 	 0.827586 
3.000000 	 1.000000 	 0.756098 
3.000000 	 2.000000 	 0.583931 
3.000000 	 3.000000 	 0.497848 
4.000000 	 1.000000 	 0.520172 
4.000000 	 2.000000 	 0.303174 
4.000000 	 3.000000 	 0.086176 
5.000000 	 1.000000 	 0.330144 
5.000000 	 2.000000 	 0.006046 
5.000000 	 3.000000 	 -0.361648 
6.000000 	 1.000000 	 0.056485 
6.000000 	 2.000000 	 -0.297529 
6.000000 	 3.000000 	 -0.823710 
7.000000 	 1.000000 	 -0.201180 
7.000000 	 2.000000 	 -0.603457 
7.000000 	 3.000000 	 -1.290968 
